"jp","cn","status","category","occurrences","jp_text_rows","speaker_rows","aligned_cn_rows","variants_cn","first_stable_id","first_scene","source","basis"
"パンツ","","candidate","片假名/拉丁字母扫描候选","3","3","0","0","","pm:static:photonmelodies11.rio.004:1269734756:00403898","crsa:photonmelodies11.rio.004@1269734756","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"ヒロイン","","candidate","片假名/拉丁字母扫描候选","3","3","0","0","","pm:static:photonmelodies11.rio.003:1272111780:00162432","crsa:photonmelodies11.rio.003@1272111780","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"ビデオ","","candidate","片假名/拉丁字母扫描候选","3","3","0","0","","pm:static:photonmelodies11.rio.003:1487490840:00124966","crsa:photonmelodies11.rio.003@1487490840","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"ビン","","candidate","片假名/拉丁字母扫描候选","3","3","0","0","","pm:static:photonmelodies11.rio.004:0258770628:00146512","crsa:photonmelodies11.rio.004@258770628","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"フラ","","candidate","片假名/拉丁字母扫描候选","3","3","0","0","","pm:static:photonmelodies11.rio.004:0131862200:00156798","crsa:photonmelodies11.rio.004@131862200","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"フル","","candidate","片假名/拉丁字母扫描候选","3","3","0","0","","pm:static:photonmelodies11.rio.004:0933776684:00501085","crsa:photonmelodies11.rio.004@933776684","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"ブチ","","candidate","片假名/拉丁字母扫描候选","3","3","0","0","","pm:static:photonmelodies11.rio.003:2092185664:00251610","crsa:photonmelodies11.rio.003@2092185664","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"ブーデ","","candidate","片假名/拉丁字母扫描候选","3","3","0","0","","pm:static:photonmelodies11.rio.003:1272111780:00153484","crsa:photonmelodies11.rio.003@1272111780","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"ヘン","","candidate","片假名/拉丁字母扫描候选","3","3","0","0","","pm:static:photonmelodies11.rio.004:0601851372:00191549","crsa:photonmelodies11.rio.004@601851372","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"ホット","","candidate","片假名/拉丁字母扫描候选","3","3","0","0","","pm:static:photonmelodies11.rio.004:0860955960:00113159","crsa:photonmelodies11.rio.004@860955960","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"ボーイッシュ","","candidate","片假名/拉丁字母扫描候选","3","3","0","0","","pm:static:photonmelodies11.rio.004:1015106108:00212573","crsa:photonmelodies11.rio.004@1015106108","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"ボーリング","","candidate","片假名/拉丁字母扫描候选","3","3","0","0","","pm:static:photonmelodies11.rio.004:0131862200:00283330","crsa:photonmelodies11.rio.004@131862200","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"ポンポン","","candidate","片假名/拉丁字母扫描候选","3","3","0","0","","pm:static:photonmelodies11.rio.004:0933776684:00555019","crsa:photonmelodies11.rio.004@933776684","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"マユゲ","","candidate","片假名/拉丁字母扫描候选","3","3","0","0","","pm:static:photonmelodies11.rio.004:1676972672:00186599","crsa:photonmelodies11.rio.004@1676972672","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"ミニマム","","candidate","片假名/拉丁字母扫描候选","3","3","0","0","","pm:static:photonmelodies11.rio.004:0426952928:00507135","crsa:photonmelodies11.rio.004@426952928","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"ムリムリ","","candidate","片假名/拉丁字母扫描候选","3","3","0","0","","pm:static:photonmelodies11.rio.004:0426952928:00365445","crsa:photonmelodies11.rio.004@426952928","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"メガネ","","candidate","片假名/拉丁字母扫描候选","3","3","0","0","","pm:static:photonmelodies11.rio.004:1457084560:00328675","crsa:photonmelodies11.rio.004@1457084560","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"メチャ","","candidate","片假名/拉丁字母扫描候选","3","3","0","0","","pm:static:photonmelodies11.rio.004:0426952928:00394077","crsa:photonmelodies11.rio.004@426952928","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"モノマネ","","candidate","片假名/拉丁字母扫描候选","3","3","0","0","","pm:static:photonmelodies11.rio.004:0131862200:00191992","crsa:photonmelodies11.rio.004@131862200","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"モミ","","candidate","片假名/拉丁字母扫描候选","3","3","0","0","","pm:static:photonmelodies11.rio.004:0695803188:00155275","crsa:photonmelodies11.rio.004@695803188","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"ライタ","","candidate","片假名/拉丁字母扫描候选","3","3","0","0","","pm:static:photonmelodies11.rio.004:0499205748:00112566","crsa:photonmelodies11.rio.004@499205748","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"ラクロス","","candidate","片假名/拉丁字母扫描候选","3","3","0","0","","pm:static:photonmelodies11.rio.004:0131862200:00312272","crsa:photonmelodies11.rio.004@131862200","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"ラーメン","","candidate","片假名/拉丁字母扫描候选","3","3","0","0","","pm:static:photonmelodies11.rio.004:0812258960:00311928","crsa:photonmelodies11.rio.004@812258960","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"リズム","","candidate","片假名/拉丁字母扫描候选","3","3","0","0","","pm:static:photonmelodies11.rio.004:0812258960:00290796","crsa:photonmelodies11.rio.004@812258960","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"リビング","","candidate","片假名/拉丁字母扫描候选","3","3","0","0","","pm:static:photonmelodies11.rio.004:1327482084:00145493","crsa:photonmelodies11.rio.004@1327482084","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"リラクゼーション","","candidate","片假名/拉丁字母扫描候选","3","3","0","0","","pm:static:photonmelodies11.rio.004:1216455180:00040353","crsa:photonmelodies11.rio.004@1216455180","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"レア","","candidate","片假名/拉丁字母扫描候选","3","3","0","0","","pm:static:photonmelodies11.rio.004:1199844672:00185572","crsa:photonmelodies11.rio.004@1199844672","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"レッツゴ","","candidate","片假名/拉丁字母扫描候选","3","3","0","0","","pm:static:photonmelodies11.rio.004:0933776684:00362379","crsa:photonmelodies11.rio.004@933776684","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"レフ","","candidate","片假名/拉丁字母扫描候选","3","3","0","0","","pm:static:photonmelodies11.rio.004:0426952928:00505857","crsa:photonmelodies11.rio.004@426952928","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"要領","要领","candidate","公共总表术语","3","3","0","0","","pm:static:photonmelodies11.rio.003:2092185664:00166742","crsa:photonmelodies11.rio.003@2092185664","main_glossary","公共总表；须以本篇最终正文核对适用语境"
"ＢＧＭ","","candidate","片假名/拉丁字母扫描候选","3","3","0","0","","pm:static:photonmelodies11.rio.004:1560893912:00143707","crsa:photonmelodies11.rio.004@1560893912","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"ＤＭＺ","","candidate","片假名/拉丁字母扫描候选","3","3","0","0","","pm:static:photonmelodies11.rio.003:0839604068:00254708","crsa:photonmelodies11.rio.003@839604068","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"ＤＮＡ","","candidate","片假名/拉丁字母扫描候选","3","3","0","0","","pm:static:photonmelodies11.rio.004:0601851372:00099949","crsa:photonmelodies11.rio.004@601851372","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"ＥＸＰ","","candidate","片假名/拉丁字母扫描候选","3","3","0","0","","pm:static:photonmelodies11.rio.004:1235087732:00320188","crsa:photonmelodies11.rio.004@1235087732","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"ＨＯＧ","","candidate","片假名/拉丁字母扫描候选","3","3","0","0","","pm:static:photonmelodies11.rio.004:1511431932:00213417","crsa:photonmelodies11.rio.004@1511431932","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"ＭＡＸ","","candidate","片假名/拉丁字母扫描候选","3","3","0","0","","pm:static:photonmelodies11.rio.003:1668688832:00190773","crsa:photonmelodies11.rio.003@1668688832","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"ＭＳＳ","","candidate","片假名/拉丁字母扫描候选","3","3","0","0","","pm:static:photonmelodies11.rio.004:1511431932:00212313","crsa:photonmelodies11.rio.004@1511431932","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"ＮＯ","","candidate","片假名/拉丁字母扫描候选","3","3","0","0","","pm:static:photonmelodies11.rio.003:1668688832:00296269","crsa:photonmelodies11.rio.003@1668688832","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"ＯＫ","","candidate","片假名/拉丁字母扫描候选","3","3","0","0","","pm:static:photonmelodies11.rio.003:0839604068:00240282","crsa:photonmelodies11.rio.003@839604068","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"ＲＰＧ","","candidate","片假名/拉丁字母扫描候选","3","3","0","0","","pm:static:photonmelodies11.rio.004:0601851372:00175005","crsa:photonmelodies11.rio.004@601851372","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"ｏｎ１","","candidate","片假名/拉丁字母扫描候选","3","3","0","0","","pm:static:photonmelodies11.rio.004:1259067424:00156104","crsa:photonmelodies11.rio.004@1259067424","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"アイデンティティ","","candidate","片假名/拉丁字母扫描候选","2","2","0","0","","pm:static:photonmelodies11.rio.003:1933169644:00137236","crsa:photonmelodies11.rio.003@1933169644","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"アクション","","candidate","片假名/拉丁字母扫描候选","2","2","0","0","","pm:static:photonmelodies11.rio.004:0131862200:00266254","crsa:photonmelodies11.rio.004@131862200","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"アピール","","candidate","片假名/拉丁字母扫描候选","2","2","0","0","","pm:static:photonmelodies11.rio.004:0131862200:00223836","crsa:photonmelodies11.rio.004@131862200","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"アホ","","candidate","片假名/拉丁字母扫描候选","2","2","0","0","","pm:static:photonmelodies11.rio.004:0933776684:00354237","crsa:photonmelodies11.rio.004@933776684","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"アームズ","","candidate","片假名/拉丁字母扫描候选","2","2","0","0","","pm:static:photonmelodies11.rio.003:1933169644:00147128","crsa:photonmelodies11.rio.003@1933169644","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"ィィ","","candidate","片假名/拉丁字母扫描候选","2","2","0","0","","pm:static:photonmelodies11.rio.002:1544313288:00329650","crsa:photonmelodies11.rio.002@1544313288","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"ィィィィィ","","candidate","片假名/拉丁字母扫描候选","2","2","0","0","","pm:static:photonmelodies11.rio.002:1544313288:00329650","crsa:photonmelodies11.rio.002@1544313288","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"イカダ","","candidate","片假名/拉丁字母扫描候选","2","2","0","0","","pm:static:photonmelodies11.rio.004:0751768580:00022063","crsa:photonmelodies11.rio.004@751768580","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"イカンイカンッ","","candidate","片假名/拉丁字母扫描候选","2","2","0","0","","pm:static:photonmelodies11.rio.004:1068948144:00042064","crsa:photonmelodies11.rio.004@1068948144","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"イタリア","","candidate","片假名/拉丁字母扫描候选","2","2","0","0","","pm:static:photonmelodies11.rio.004:1361070408:00497387","crsa:photonmelodies11.rio.004@1361070408","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"イチイチ","","candidate","片假名/拉丁字母扫描候选","2","2","0","0","","pm:static:photonmelodies11.rio.003:1668688832:00281531","crsa:photonmelodies11.rio.003@1668688832","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"イベントラッシュ","","candidate","片假名/拉丁字母扫描候选","2","2","0","0","","pm:static:photonmelodies11.rio.004:1216455180:00032987","crsa:photonmelodies11.rio.004@1216455180","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"イヤ","","candidate","片假名/拉丁字母扫描候选","2","2","0","0","","pm:static:photonmelodies11.rio.004:0258770628:00165296","crsa:photonmelodies11.rio.004@258770628","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"ウィナーーーッ","","candidate","片假名/拉丁字母扫描候选","2","2","0","0","","pm:static:photonmelodies11.rio.004:0499205748:00100434","crsa:photonmelodies11.rio.004@499205748","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"ウィンタースポーツ","","candidate","片假名/拉丁字母扫描候选","2","2","0","0","","pm:static:photonmelodies11.rio.004:0408936772:00045153","crsa:photonmelodies11.rio.004@408936772","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"ウォッカ","","candidate","片假名/拉丁字母扫描候选","2","2","0","0","","pm:static:photonmelodies11.rio.004:0258770628:00145686","crsa:photonmelodies11.rio.004@258770628","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"ウサ","","candidate","片假名/拉丁字母扫描候选","2","2","0","0","","pm:static:photonmelodies11.rio.004:0131862200:00316314","crsa:photonmelodies11.rio.004@131862200","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"ウリ","","candidate","片假名/拉丁字母扫描候选","2","2","0","0","","pm:static:photonmelodies11.rio.004:0933776684:00386299","crsa:photonmelodies11.rio.004@933776684","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"ェッ","","candidate","片假名/拉丁字母扫描候选","2","2","0","0","","pm:static:photonmelodies11.rio.003:1272111780:00035867","crsa:photonmelodies11.rio.003@1272111780","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"エクササイズ","","candidate","片假名/拉丁字母扫描候选","2","2","0","0","","pm:static:photonmelodies11.rio.003:1272111780:00224304","crsa:photonmelodies11.rio.003@1272111780","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"エクソダス","","candidate","片假名/拉丁字母扫描候选","2","2","0","0","","pm:static:photonmelodies11.rio.002:1544313288:00224898","crsa:photonmelodies11.rio.002@1544313288","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"エスコート","","candidate","片假名/拉丁字母扫描候选","2","2","0","0","","pm:static:photonmelodies11.rio.004:1361070408:00244967","crsa:photonmelodies11.rio.004@1361070408","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"エニグマ","","candidate","片假名/拉丁字母扫描候选","2","2","0","0","","pm:static:photonmelodies11.rio.003:1808201404:00130942","crsa:photonmelodies11.rio.003@1808201404","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"エラ","","candidate","片假名/拉丁字母扫描候选","2","2","0","0","","pm:static:photonmelodies11.rio.004:0426952928:00658365","crsa:photonmelodies11.rio.004@426952928","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"エンドレス","","candidate","片假名/拉丁字母扫描候选","2","2","0","0","","pm:static:photonmelodies11.rio.004:1269734756:00474626","crsa:photonmelodies11.rio.004@1269734756","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"エージェント","","candidate","片假名/拉丁字母扫描候选","2","2","0","0","","pm:static:photonmelodies11.rio.004:1511431932:00204311","crsa:photonmelodies11.rio.004@1511431932","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"オカシイ","","candidate","片假名/拉丁字母扫描候选","2","2","0","0","","pm:static:photonmelodies11.rio.004:0812258960:00262206","crsa:photonmelodies11.rio.004@812258960","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"オスメス","","candidate","片假名/拉丁字母扫描候选","2","2","0","0","","pm:static:photonmelodies11.rio.003:1933169644:00170990","crsa:photonmelodies11.rio.003@1933169644","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"オセオセ","","candidate","片假名/拉丁字母扫描候选","2","2","0","0","","pm:static:photonmelodies11.rio.004:0812258960:00296904","crsa:photonmelodies11.rio.004@812258960","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"オッケーオッケ","","candidate","片假名/拉丁字母扫描候选","2","2","0","0","","pm:static:photonmelodies11.rio.003:2092185664:00384260","crsa:photonmelodies11.rio.003@2092185664","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"オフェンス","","candidate","片假名/拉丁字母扫描候选","2","2","0","0","","pm:static:photonmelodies11.rio.004:1269734756:00364098","crsa:photonmelodies11.rio.004@1269734756","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"オホン","","candidate","片假名/拉丁字母扫描候选","2","2","0","0","","pm:static:photonmelodies11.rio.004:0426952928:00339149","crsa:photonmelodies11.rio.004@426952928","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"オマエ","","candidate","片假名/拉丁字母扫描候选","2","2","0","0","","pm:static:photonmelodies11.rio.004:1269734756:00308704","crsa:photonmelodies11.rio.004@1269734756","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"オレッス","","candidate","片假名/拉丁字母扫描候选","2","2","0","0","","pm:static:photonmelodies11.rio.002:1544313288:00329368","crsa:photonmelodies11.rio.002@1544313288","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"オーケ","","candidate","片假名/拉丁字母扫描候选","2","2","0","0","","pm:static:photonmelodies11.rio.004:1269734756:00494438","crsa:photonmelodies11.rio.004@1269734756","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"オーバ","","candidate","片假名/拉丁字母扫描候选","2","2","0","0","","pm:static:photonmelodies11.rio.004:0426952928:00541085","crsa:photonmelodies11.rio.004@426952928","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"カギ","","candidate","片假名/拉丁字母扫描候选","2","2","0","0","","pm:static:photonmelodies11.rio.004:1269734756:00428258","crsa:photonmelodies11.rio.004@1269734756","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"カタブツ","","candidate","片假名/拉丁字母扫描候选","2","2","0","0","","pm:static:photonmelodies11.rio.002:1544313288:00344592","crsa:photonmelodies11.rio.002@1544313288","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"カッチョ","","candidate","片假名/拉丁字母扫描候选","2","2","0","0","","pm:static:photonmelodies11.rio.004:1361070408:00251609","crsa:photonmelodies11.rio.004@1361070408","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"カニバル","","candidate","片假名/拉丁字母扫描候选","2","2","0","0","","pm:static:photonmelodies11.rio.002:1544313288:00276340","crsa:photonmelodies11.rio.002@1544313288","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"カムヒア","","candidate","片假名/拉丁字母扫描候选","2","2","0","0","","pm:static:photonmelodies11.rio.004:1560893912:00152441","crsa:photonmelodies11.rio.004@1560893912","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"カラ","","candidate","片假名/拉丁字母扫描候选","2","2","0","0","","pm:static:photonmelodies11.rio.003:2092185664:00324080","crsa:photonmelodies11.rio.003@2092185664","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"カリキュラム","","candidate","片假名/拉丁字母扫描候选","2","2","0","0","","pm:static:photonmelodies11.rio.003:1272111780:00158968","crsa:photonmelodies11.rio.003@1272111780","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"ガオガオ","","candidate","片假名/拉丁字母扫描候选","2","2","0","0","","pm:static:photonmelodies11.rio.004:0499205748:00194620","crsa:photonmelodies11.rio.004@499205748","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"ガオッ","","candidate","片假名/拉丁字母扫描候选","2","2","0","0","","pm:static:photonmelodies11.rio.004:0499205748:00195818","crsa:photonmelodies11.rio.004@499205748","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"ガタガタ","","candidate","片假名/拉丁字母扫描候选","2","2","0","0","","pm:static:photonmelodies11.rio.003:1668688832:00301693","crsa:photonmelodies11.rio.003@1668688832","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"ガッチリ","","candidate","片假名/拉丁字母扫描候选","2","2","0","0","","pm:static:photonmelodies11.rio.004:1361070408:00524905","crsa:photonmelodies11.rio.004@1361070408","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"ガラ","","candidate","片假名/拉丁字母扫描候选","2","2","0","0","","pm:static:photonmelodies11.rio.004:1269734756:00383764","crsa:photonmelodies11.rio.004@1269734756","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"ガン","","candidate","片假名/拉丁字母扫描候选","2","2","0","0","","pm:static:photonmelodies11.rio.003:0839604068:00228974","crsa:photonmelodies11.rio.003@839604068","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"キッパリ","","candidate","片假名/拉丁字母扫描候选","2","2","0","0","","pm:static:photonmelodies11.rio.004:0426952928:00306293","crsa:photonmelodies11.rio.004@426952928","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"キッパリスッパリ","","candidate","片假名/拉丁字母扫描候选","2","2","0","0","","pm:static:photonmelodies11.rio.004:0933776684:00399799","crsa:photonmelodies11.rio.004@933776684","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"キバヤシ","","candidate","片假名/拉丁字母扫描候选","2","2","0","0","","pm:static:photonmelodies11.rio.003:0839604068:00188138","crsa:photonmelodies11.rio.003@839604068","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"キメ","","candidate","片假名/拉丁字母扫描候选","2","2","0","0","","pm:static:photonmelodies11.rio.004:0655753292:00116292","crsa:photonmelodies11.rio.004@655753292","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"キャッチ","","candidate","片假名/拉丁字母扫描候选","2","2","0","0","","pm:static:photonmelodies11.rio.004:0499205748:00120134","crsa:photonmelodies11.rio.004@499205748","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"キョロキョロ","","candidate","片假名/拉丁字母扫描候选","2","2","0","0","","pm:static:photonmelodies11.rio.004:1457084560:00386097","crsa:photonmelodies11.rio.004@1457084560","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"キラキラ","","candidate","片假名/拉丁字母扫描候选","2","2","0","0","","pm:static:photonmelodies11.rio.004:0933776684:00275017","crsa:photonmelodies11.rio.004@933776684","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"ギブ","","candidate","片假名/拉丁字母扫描候选","2","2","0","0","","pm:static:photonmelodies11.rio.004:0933776684:00465271","crsa:photonmelodies11.rio.004@933776684","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"ギャグ","","candidate","片假名/拉丁字母扫描候选","2","2","0","0","","pm:static:photonmelodies11.rio.004:0499205748:00185144","crsa:photonmelodies11.rio.004@499205748","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"ギュ","","candidate","片假名/拉丁字母扫描候选","2","2","0","0","","pm:static:photonmelodies11.rio.004:1457084560:00214529","crsa:photonmelodies11.rio.004@1457084560","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"ギレ","","candidate","片假名/拉丁字母扫描候选","2","2","0","0","","pm:static:photonmelodies11.rio.004:0812258960:00421422","crsa:photonmelodies11.rio.004@812258960","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"クセ","","candidate","片假名/拉丁字母扫描候选","2","2","0","0","","pm:static:photonmelodies11.rio.002:1544313288:00293962","crsa:photonmelodies11.rio.002@1544313288","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"クソガキ","","candidate","片假名/拉丁字母扫描候选","2","2","0","0","","pm:static:photonmelodies11.rio.004:0426952928:00343109","crsa:photonmelodies11.rio.004@426952928","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"クラッ","","candidate","片假名/拉丁字母扫描候选","2","2","0","0","","pm:static:photonmelodies11.rio.004:0933776684:00452211","crsa:photonmelodies11.rio.004@933776684","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"クリア","","candidate","片假名/拉丁字母扫描候选","2","2","0","0","","pm:static:photonmelodies11.rio.004:0426952928:00447201","crsa:photonmelodies11.rio.004@426952928","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"クリーニングセンタ","","candidate","片假名/拉丁字母扫描候选","2","2","0","0","","pm:static:photonmelodies11.rio.004:1015106108:00160081","crsa:photonmelodies11.rio.004@1015106108","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"クリーム","","candidate","片假名/拉丁字母扫描候选","2","2","0","0","","pm:static:photonmelodies11.rio.003:2092185664:00197858","crsa:photonmelodies11.rio.003@2092185664","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"クール","","candidate","片假名/拉丁字母扫描候选","2","2","0","0","","pm:static:photonmelodies11.rio.003:0839604068:00322018","crsa:photonmelodies11.rio.003@839604068","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"ググ","","candidate","片假名/拉丁字母扫描候选","2","2","0","0","","pm:static:photonmelodies11.rio.004:1676972672:00113133","crsa:photonmelodies11.rio.004@1676972672","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"ググッ","","candidate","片假名/拉丁字母扫描候选","2","2","0","0","","pm:static:photonmelodies11.rio.004:0426952928:00315887","crsa:photonmelodies11.rio.004@426952928","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"グルメ","","candidate","片假名/拉丁字母扫描候选","2","2","0","0","","pm:static:photonmelodies11.rio.003:0839604068:00387170","crsa:photonmelodies11.rio.003@839604068","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"グルーピング","","candidate","片假名/拉丁字母扫描候选","2","2","0","0","","pm:static:photonmelodies11.rio.003:1272111780:00150752","crsa:photonmelodies11.rio.003@1272111780","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"ケンカ","","candidate","片假名/拉丁字母扫描候选","2","2","0","0","","pm:static:photonmelodies11.rio.003:1272111780:00144002","crsa:photonmelodies11.rio.003@1272111780","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"ゲホゲホッッ","","candidate","片假名/拉丁字母扫描候选","2","2","0","0","","pm:static:photonmelodies11.rio.004:0131862200:00262850","crsa:photonmelodies11.rio.004@131862200","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"ゲンナリ","","candidate","片假名/拉丁字母扫描候选","2","2","0","0","","pm:static:photonmelodies11.rio.004:0933776684:00269803","crsa:photonmelodies11.rio.004@933776684","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
